                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.5794,                 1.8868,                0.76012,                0.87254,                0.82324,                0.72886,                0.80551,                0.32673,                0.67936,                0.59701,                0.62445,                0.20605,                 2.0022,                 2.5625,                 1.1446,                0.98754,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.6019,                 1.9337,                0.75481,                0.87308,                0.81672,                0.77861,                0.82178,                0.32994,                0.70567,                0.66201,                0.66777,                0.21987,                 1.9738,                 2.5026,                 1.1177,                0.98068,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.6024,                 1.8903,                0.73707,                0.88419,                0.85958,                0.77363,                0.82231,                0.32773,                0.71958,                0.63184,                0.65791,                0.22056,                 1.9558,                 2.5053,                  1.049,                0.97771,               0.000416,               0.000416,               0.000416
                     83,                 1.5807,                 1.9219,                 0.7369,                0.87819,                0.83694,                0.74056,                0.79291,                0.32178,                0.69919,                0.61867,                0.61875,                0.20303,                 1.9788,                  2.527,                 1.1074,                0.98657,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.5689,                 1.8908,                0.73658,                0.87517,                0.83619,                0.76191,                0.81269,                0.33085,                0.68939,                0.62687,                  0.616,                 0.1967,                 1.9777,                 2.5607,                 1.0823,                0.98807,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5847,                 1.8679,                0.72641,                0.86402,                0.83679,                0.74378,                0.79882,                0.32512,                0.68446,                0.60945,                0.61422,                0.19383,                 1.9685,                  2.535,                 1.0601,                0.97884,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.5592,                 1.8525,                0.72688,                0.86555,                0.84116,                0.76617,                0.82219,                0.34692,                0.72338,                0.65174,                0.67615,                0.22366,                  1.938,                 2.4848,                 1.0848,                0.97497,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.5489,                 1.8456,                0.71923,                0.87269,                0.83829,                0.73502,                0.81386,                 0.3292,                0.70115,                0.60696,                0.61594,                0.19037,                 1.9732,                 2.5618,                 1.0866,                0.97973,               0.000317,               0.000317,               0.000317
                     88,                 1.6134,                 1.8421,                 0.7301,                0.86922,                0.84386,                0.76617,                0.82621,                0.33284,                 0.6793,                0.62438,                0.62737,                0.20141,                  1.976,                 2.5528,                 1.0864,                0.98221,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.5147,                 1.8403,                0.69425,                 0.8604,                0.85506,                0.74842,                0.81187,                0.32488,                 0.6954,                0.63682,                0.64041,                0.20199,                  2.009,                 2.6154,                 1.1103,                0.98446,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.5389,                 1.8719,                0.70758,                0.86254,                0.86567,                0.73632,                 0.8142,                0.33398,                 0.7285,                0.59405,                0.61127,                0.19283,                 2.0017,                 2.5391,                 1.1302,                0.98517,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.5839,                 1.9092,                0.73424,                0.88441,                0.83758,                0.76119,                0.82143,                0.33975,                0.73076,                0.64817,                0.66702,                0.24595,                 1.9476,                 2.4944,                 1.0565,                0.97936,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.5432,                 1.8308,                0.70864,                0.87435,                0.82546,                0.74129,                0.80803,                0.33077,                0.70081,                0.62935,                0.62983,                0.20297,                 1.9937,                 2.5072,                 1.0473,                0.98837,               0.000218,               0.000218,               0.000218
                     93,                 1.5422,                 1.8429,                 0.7065,                0.87747,                0.82276,                0.75056,                0.81229,                  0.324,                0.69955,                0.61194,                0.60652,                0.18415,                 1.9891,                 2.5783,                 1.0782,                0.98937,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.5136,                  1.849,                 0.6878,                0.87085,                0.83867,                0.73383,                0.81289,                0.32583,                0.70527,                0.61692,                0.63278,                0.20505,                 1.9897,                 2.5945,                 1.0843,                0.98838,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.5187,                 1.8607,                0.66791,                0.87354,                0.84943,                0.74876,                0.80752,                0.32827,                0.72929,                0.62935,                0.63346,                0.21031,                 1.9785,                 2.5434,                 1.0617,                0.98281,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.5163,                 1.8637,                0.68682,                0.87575,                0.84601,                0.75124,                0.82324,                0.33556,                0.73425,                0.63433,                0.64317,                0.20531,                 1.9734,                 2.5978,                 1.0306,                0.98228,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.5143,                 1.8392,                0.67593,                 0.8768,                0.83811,                0.76866,                0.82812,                 0.3425,                 0.6976,                0.68657,                0.67944,                0.22614,                 1.9891,                 2.5327,                 1.0236,                 0.9824,               0.000119,               0.000119,               0.000119
                     98,                 1.4976,                 1.8277,                0.67543,                 0.8737,                0.85771,                0.76866,                0.82953,                 0.3398,                0.72687,                0.64876,                 0.6638,                0.20671,                 1.9905,                 2.5708,                 1.0184,                0.98108,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.4755,                 1.8049,                0.65271,                0.87267,                0.85021,                0.77657,                 0.8276,                0.33199,                0.71739,                0.65672,                0.64642,                0.20598,                 1.9921,                 2.5647,                 1.0097,                 0.9818,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.4876,                 1.7864,                0.66994,                0.87703,                0.84297,                0.78789,                0.83288,                0.34477,                0.71539,                0.67164,                 0.6666,                0.22217,                 1.9684,                 2.5675,                  1.016,                0.98013,               5.96e-05,               5.96e-05,               5.96e-05
